file,line_no,snippet,rule_id,rule_desc,severity,suggestion
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,124,"description=""Use of insecure randomness (random.random() for security-sensitive use)"",",R012,Use of insecure randomness (random.random() for security-sensitive use),MEDIUM,Use secrets module or os.urandom for cryptographic randomness.
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,105,"pattern=r""http://[^\s'\""<>]+"",",R009,Use of HTTP (not HTTPS) in URLs,MEDIUM,Prefer HTTPS URLs; avoid sending secrets over HTTP.
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,91,"pattern=r""\b(md5|sha1|unhexlify\(|hashlib\.(md5|sha1))\b"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,91,"pattern=r""\b(md5|sha1|unhexlify\(|hashlib\.(md5|sha1))\b"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,91,"pattern=r""\b(md5|sha1|unhexlify\(|hashlib\.(md5|sha1))\b"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,91,"pattern=r""\b(md5|sha1|unhexlify\(|hashlib\.(md5|sha1))\b"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,89,"description=""Use of weak hashing algorithms (MD5/SHA1)"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,89,"description=""Use of weak hashing algorithms (MD5/SHA1)"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,72,"""rule_desc"": ""Use of weak hashing algorithms (MD5/SHA1)"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,72,"""rule_desc"": ""Use of weak hashing algorithms (MD5/SHA1)"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,70,"""snippet"": ""description=\""Use of weak hashing algorithms (MD5/SHA1)\"","",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,70,"""snippet"": ""description=\""Use of weak hashing algorithms (MD5/SHA1)\"","",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,63,"""rule_desc"": ""Use of weak hashing algorithms (MD5/SHA1)"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,63,"""rule_desc"": ""Use of weak hashing algorithms (MD5/SHA1)"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,61,"""snippet"": ""description=\""Use of weak hashing algorithms (MD5/SHA1)\"","",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,61,"""snippet"": ""description=\""Use of weak hashing algorithms (MD5/SHA1)\"","",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,54,"""rule_desc"": ""Use of weak hashing algorithms (MD5/SHA1)"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,54,"""rule_desc"": ""Use of weak hashing algorithms (MD5/SHA1)"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,52,"""snippet"": ""pattern=r\""\\b(md5|sha1|unhexlify\\(|hashlib\\.(md5|sha1))\\b\"","",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,52,"""snippet"": ""pattern=r\""\\b(md5|sha1|unhexlify\\(|hashlib\\.(md5|sha1))\\b\"","",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,52,"""snippet"": ""pattern=r\""\\b(md5|sha1|unhexlify\\(|hashlib\\.(md5|sha1))\\b\"","",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,52,"""snippet"": ""pattern=r\""\\b(md5|sha1|unhexlify\\(|hashlib\\.(md5|sha1))\\b\"","",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,45,"""rule_desc"": ""Use of weak hashing algorithms (MD5/SHA1)"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,45,"""rule_desc"": ""Use of weak hashing algorithms (MD5/SHA1)"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,43,"""snippet"": ""pattern=r\""\\b(md5|sha1|unhexlify\\(|hashlib\\.(md5|sha1))\\b\"","",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,43,"""snippet"": ""pattern=r\""\\b(md5|sha1|unhexlify\\(|hashlib\\.(md5|sha1))\\b\"","",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,43,"""snippet"": ""pattern=r\""\\b(md5|sha1|unhexlify\\(|hashlib\\.(md5|sha1))\\b\"","",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,43,"""snippet"": ""pattern=r\""\\b(md5|sha1|unhexlify\\(|hashlib\\.(md5|sha1))\\b\"","",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,36,"""rule_desc"": ""Use of weak hashing algorithms (MD5/SHA1)"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,36,"""rule_desc"": ""Use of weak hashing algorithms (MD5/SHA1)"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,34,"""snippet"": ""pattern=r\""\\b(md5|sha1|unhexlify\\(|hashlib\\.(md5|sha1))\\b\"","",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,34,"""snippet"": ""pattern=r\""\\b(md5|sha1|unhexlify\\(|hashlib\\.(md5|sha1))\\b\"","",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,34,"""snippet"": ""pattern=r\""\\b(md5|sha1|unhexlify\\(|hashlib\\.(md5|sha1))\\b\"","",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,34,"""snippet"": ""pattern=r\""\\b(md5|sha1|unhexlify\\(|hashlib\\.(md5|sha1))\\b\"","",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,27,"""rule_desc"": ""Use of weak hashing algorithms (MD5/SHA1)"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,27,"""rule_desc"": ""Use of weak hashing algorithms (MD5/SHA1)"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,25,"""snippet"": ""pattern=r\""\\b(md5|sha1|unhexlify\\(|hashlib\\.(md5|sha1))\\b\"","",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,25,"""snippet"": ""pattern=r\""\\b(md5|sha1|unhexlify\\(|hashlib\\.(md5|sha1))\\b\"","",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,25,"""snippet"": ""pattern=r\""\\b(md5|sha1|unhexlify\\(|hashlib\\.(md5|sha1))\\b\"","",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,25,"""snippet"": ""pattern=r\""\\b(md5|sha1|unhexlify\\(|hashlib\\.(md5|sha1))\\b\"","",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,16,"""snippet"": ""pattern=r\""http://[^\\s'\\\""<>]+\"","",",R009,Use of HTTP (not HTTPS) in URLs,MEDIUM,Prefer HTTPS URLs; avoid sending secrets over HTTP.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,9,"""rule_desc"": ""Use of insecure randomness (random.random() for security-sensitive use)"",",R012,Use of insecure randomness (random.random() for security-sensitive use),MEDIUM,Use secrets module or os.urandom for cryptographic randomness.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,7,"""snippet"": ""description=\""Use of insecure randomness (random.random() for security-sensitive use)\"","",",R012,Use of insecure randomness (random.random() for security-sensitive use),MEDIUM,Use secrets module or os.urandom for cryptographic randomness.
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,221,# detect pickle.load(s),R004,pickle.loads or insecure deserialization (Python),HIGH,Avoid untrusted pickle data; use safer serialization formats (JSON).
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,217,"rule_desc=""Use of eval/exec (AST detected)"",",R003,Use of eval or exec (Python),HIGH,Avoid eval/exec; use safer parsing or literal_eval.
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,98,"pattern=r""(SELECT|INSERT|UPDATE|DELETE).{0,200}(\+|%s|\%|\{\s*[^}]+\s*\})"",",R008,SQL-like string concatenation (possible SQL injection),HIGH,Use parameterized queries / prepared statements instead of string concatenation.
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,82,"description=""HTTP request with verify=False (insecure TLS validation)"",",R006,HTTP request with verify=False (insecure TLS validation),HIGH,Do not disable TLS verification in production.
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,59,"description=""Use of eval or exec (Python)"",",R003,Use of eval or exec (Python),HIGH,Avoid eval/exec; use safer parsing or literal_eval.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,108,"""rule_desc"": ""HTTP request with verify=False (insecure TLS validation)"",",R006,HTTP request with verify=False (insecure TLS validation),HIGH,Do not disable TLS verification in production.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,106,"""snippet"": ""description=\""HTTP request with verify=False (insecure TLS validation)\"","",",R006,HTTP request with verify=False (insecure TLS validation),HIGH,Do not disable TLS verification in production.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,97,"""snippet"": ""pattern=r\""(SELECT|INSERT|UPDATE|DELETE).{0,200}(\\+|%s|\\%|\\{\\s*[^}]+\\s*\\})\"","",",R008,SQL-like string concatenation (possible SQL injection),HIGH,Use parameterized queries / prepared statements instead of string concatenation.
